25 44.4 48.3 35.45 36.45 39.7 65.5 54.1 54.6
25.1 43.7 48.6 37.85 37.4 41.15 66.3 56.05 54.9
25.2 41.6 45.8 36.65 36.2 39.55 63.85 52.8 53.6
25.3 40.5 45.55 34.4 34.5 37.95 63.05 52.35 52.45
25.4 46.3 49.1 36.3 36.65 40.9 66.45 54.3 55.75
25.5 41.95 45.95 37.35 35.9 39.9 63.65 53.8 53.75
25.6 45.6 48.2 39.15 39.7 43.75 70.2 59.45 58.2
25.7 45.4 49.2 39.65 38.85 42.95 68.55 57.15 57.95
25.8 43.1 47.1 39.65 38.05 41.55 66.9 55.2 53.7
25.9 42.85 47.4 37.1 36.85 40.55 66.25 55.05 56.25
26 43.7 47 36.2 36.7 40.25 62.95 53.2 53.6
26.1 45.05 49.65 38.05 38.65 42.55 67.3 58 57.95
26.2 43.05 47.5 37.15 36.6 40.3 64.75 55.75 54.8
26.3 42.65 46.35 34.85 35.35 39.1 63.8 53.4 52.15
26.4 40.2 43.8 35.65 34.85 38.5 62 52.5 52.55
26.5 44.6 49.4 36.9 37.1 40.5 65.55 55.1 56.1
26.6 42.45 45.2 37.25 36.75 39.15 65.45 53.4 54.35
26.7 41.15 45.55 35.9 35.65 38.45 62.25 52.8 52.9
26.8 41.85 45.2 37.1 35.75 39.6 64 53.65 53.1
26.9 44.65 49.05 38.75 38.55 41.8 69.05 56.75 55.9
27 43.05 46.25 37.2 36.9 39.9 65.55 55.4 55.8
27.1 44.75 48.15 37.35 36.95 39.9 65.75 55.05 54.8
27.2 39.7 44.05 36.15 35.25 38.95 63.55 53.7 53
27.3 43.55 47.85 37.65 37.4 40.85 66.2 55.85 54.55
27.4 42.25 46.6 35.8 35.9 38.65 62.95 53.6 53.05
27.5 43.3 46.8 36.15 36.75 39.45 64.9 55 54.8
27.6 39.7 44.15 35.6 35.5 38.75 63.1 53.45 52.75
27.7 43.2 47.7 34.9 35.4 38.7 64.05 52.6 53.35
27.8 42.3 45.85 34.15 35.05 39.1 62.7 52.2 53.55
27.9 42.15 46.5 37.05 36.25 38.5 65.45 55.7 55.5
28 41.05 45.05 35.5 35.2 38.45 62.95 53.7 52.75
28.1 42.35 46.7 38.15 37.2 40.35 66.6 58.1 57.75
28.2 45.25 50.25 39.95 38.8 42.45 69.55 59.65 58.5
28.3 39.15 42.55 34.9 34.55 37.6 61.1 51.85 52.55
28.4 43.35 47.05 36.75 36.55 40.25 64.7 55.4 54.95
28.5 40.1 44.45 35.65 35.05 38.9 64.3 54.45 54.4
28.6 41.55 45.05 34.95 35.65 38.5 63.4 55.15 54.3
28.7 41.45 45.4 36.15 36 38.85 65.5 55.7 56
28.8 41.9 45.5 37.55 35.55 38.7 65.55 55.5 58
28.9 40 44.85 35.1 34.7 37.55 62.5 54.15 54.1
29 41.2 45.4 37.6 36.05 39.15 65.6 56.95 56.35
29.1 40.15 44.35 34.4 34.55 37.45 63.1 53.85 54.7
29.2 41.35 45.05 35.3 35.6 38.7 65.2 56.55 56.8
29.3 42.35 46.25 35.25 35.2 38.2 62.8 55.45 54.4
29.4 39.7 44.55 35.5 34.8 38.2 63.8 55.8 55.45
29.5 40.1 45.15 34.8 34.9 38 63.85 54.65 54.35
29.6 40.7 45.45 35.65 35.85 38.7 65.3 57.2 56.15
29.7 39.4 44.55 34.65 35.9 38.15 62.8 55.65 56.5
29.8 39.2 43.95 35.4 34.7 38 61.85 54.65 54.5
29.9 39.65 43.25 34.25 34.95 37.7 62.65 56.5 56.5
30 40.3 45.05 35.9 35.9 39.2 64.05 57.95 55.9
30.1 41.4 45.85 35.45 35.95 38.75 65.65 56.15 57.8
30.2 40.25 44.95 37.15 36.55 39.5 66.4 57.25 57.5
30.3 39.85 44.6 34.35 35.25 38.15 65.65 57.45 57.65
30.4 36.9 41.6 32.35 33.35 36.35 61.5 55.2 53.55
30.5 38.35 42.1 34 34.55 38.1 65.55 57.3 56.6
30.6 36.1 40 33.35 33.1 35.85 61.9 55.35 54.55
30.7 36.05 39.3 31.85 33.1 36 60.2 53.5 53.6
30.8 38.85 43.2 36.55 36.5 39.85 68.9 59.95 60.85
